gui-name,number3,change-number
　乾为天,1,初九
　乾为天,2,九二
　乾为天,3,九三
　乾为天,4,九四
　乾为天,5,九五
　乾为天,6,上九
　坤为地,1,初六
　坤为地,2,六二
　坤为地,3,六三
　坤为地,4,六四
　坤为地,5,六五
　坤为地,6,上六
　水雷屯,1,初九
　水雷屯,2,六二
　水雷屯,3,六三
　水雷屯,4,六四
　水雷屯,5,九五
　水雷屯,6,上六
　山水蒙,1,初六
　山水蒙,2,九二
　山水蒙,3,六三
　山水蒙,4,六四
　山水蒙,5,六五
　山水蒙,6,上九
　水天需,1,初九
　水天需,2,九二
　水天需,3,九三
　水天需,4,六四
　水天需,5,九五
　水天需,6,上六
　天水讼,1,初六
　天水讼,2,九二
　天水讼,3,六三
　天水讼,4,九四
　天水讼,5,九五
　天水讼,6,上九
　地水师,1,初六
　地水师,2,九二
　地水师,3,六三
　地水师,4,六四
　地水师,5,六五
　地水师,6,上六
　水地比,1,初六
　水地比,2,六二
　水地比,3,六三
　水地比,4,六四
　水地比,5,九五
　水地比,6,上六
　风天小畜,1,初九
　风天小畜,2,九二
　风天小畜,3,九三
　风天小畜,4,六四
　风天小畜,5,九五
　风天小畜,6,上九
　天泽履,1,初九
　天泽履,2,九二
　天泽履,3,六三
　天泽履,4,九四
　天泽履,5,九五
　天泽履,6,上九
　地天泰,1,初九
　地天泰,2,九二
　地天泰,3,九三
　地天泰,4,六四
　地天泰,5,六五
　地天泰,6,上六
　天地否,1,初六
　天地否,2,六二
　天地否,3,六三
　天地否,4,九四
　天地否,5,九五
　天地否,6,上九
　天火同人,1,初九
　天火同人,2,六二
　天火同人,3,九三
　天火同人,4,九四
　天火同人,5,九五
　天火同人,6,上九
　火天大有,1,初九
　火天大有,2,九二
　火天大有,3,九三
　火天大有,4,九四
　火天大有,5,六五
　火天大有,6,上九
　地山谦,1,初六
　地山谦,2,六二
　地山谦,3,九三
　地山谦,4,六四
　地山谦,5,六五
　地山谦,6,上六
　雷地豫,1,初六
　雷地豫,2,六二
　雷地豫,3,六三
　雷地豫,4,九四
　雷地豫,5,六五
　雷地豫,6,上六
　泽雷随,1,初九
　泽雷随,2,六二
　泽雷随,3,六三
　泽雷随,4,九四
　泽雷随,5,九五
　泽雷随,6,上六
　山风蛊,1,初六
　山风蛊,2,九二
　山风蛊,3,九三
　山风蛊,4,六四
　山风蛊,5,六五
　山风蛊,6,上九
　地泽临,1,初九
　地泽临,2,九二
　地泽临,3,六三
　地泽临,4,六四
　地泽临,5,六五
　地泽临,6,上六
　风地观,1,初六
　风地观,2,六二
　风地观,3,六三
　风地观,4,六四
　风地观,5,九五
　风地观,6,上九
　火雷噬嗑,1,初九
　火雷噬嗑,2,六二
　火雷噬嗑,3,六三
　火雷噬嗑,4,九四
　火雷噬嗑,5,六五
　火雷噬嗑,6,上九
　山火贲,1,初九
　山火贲,2,六二
　山火贲,3,九三
　山火贲,4,六四
　山火贲,5,六五
　山火贲,6,上九
　山地剥,1,初六
　山地剥,2,六二
　山地剥,3,六三
　山地剥,4,六四
　山地剥,5,六五
　山地剥,6,上九
　地雷复,1,初九
　地雷复,2,六二
　地雷复,3,六三
　地雷复,4,六四
　地雷复,5,六五
　地雷复,6,上六
　天雷无妄,1,初九
　天雷无妄,2,六二
　天雷无妄,3,六三
　天雷无妄,4,九四
　天雷无妄,5,九五
　天雷无妄,6,上九
　山天大畜,1,初九
　山天大畜,2,九二
　山天大畜,3,九三
　山天大畜,4,六四
　山天大畜,5,六五
　山天大畜,6,上九
　山雷颐,1,初九
　山雷颐,2,六二
　山雷颐,3,六三
　山雷颐,4,六四
　山雷颐,5,六五
　山雷颐,6,上九
　泽风大过,1,初六
　泽风大过,2,九二
　泽风大过,3,九三
　泽风大过,4,九四
　泽风大过,5,九五
　泽风大过,6,上六
　坎为水,1,初六
　坎为水,2,九二
　坎为水,3,六三
　坎为水,4,六四
　坎为水,5,九五
　坎为水,6,上六
　离为火,1,初九
　离为火,2,六二
　离为火,3,九三
　离为火,4,九四
　离为火,5,六五
　离为火,6,上九
　泽山咸,1,初六
　泽山咸,2,六二
　泽山咸,3,九三
　泽山咸,4,九四
　泽山咸,5,九五
　泽山咸,6,上六
　雷风恒,1,初六
　雷风恒,2,九二
　雷风恒,3,九三
　雷风恒,4,九四
　雷风恒,5,六五
　雷风恒,6,上六
　天山遁,1,初六
　天山遁,2,六二
　天山遁,3,九三
　天山遁,4,九四
　天山遁,5,九五
　天山遁,6,上九
