gui-name,number3,change-number
　雷天大壮,1,初九
　雷天大壮,2,九二
　雷天大壮,3,九三
　雷天大壮,4,九四
　雷天大壮,5,六五
　雷天大壮,6,上六
　火地晋,1,初六
　火地晋,2,六二
　火地晋,3,六三
　火地晋,4,九四
　火地晋,5,六五
　火地晋,6,上九
　地火明夷,1,初九
　地火明夷,2,六二
　地火明夷,3,九三
　地火明夷,4,六四
　地火明夷,5,六五
　地火明夷,6,上六
　风火家人,1,初九
　风火家人,2,六二
　风火家人,3,九三
　风火家人,4,六四
　风火家人,5,九五
　风火家人,6,上九
　火泽睽,1,初九
　火泽睽,2,九二
　火泽睽,3,六三
　火泽睽,4,九四
　火泽睽,5,六五
　火泽睽,6,上九
　水山蹇,1,初六
　水山蹇,2,六二
　水山蹇,3,九三
　水山蹇,4,六四
　水山蹇,5,九五
　水山蹇,6,上六
　雷水解,1,初六
　雷水解,2,九二
　雷水解,3,六三
　雷水解,4,九四
　雷水解,5,六五
　雷水解,6,上六
　山泽损,1,初九
　山泽损,2,九二
　山泽损,3,六三
　山泽损,4,六四
　山泽损,5,六五
　山泽损,6,上九
　风雷益,1,初九
　风雷益,2,六二
　风雷益,3,六三
　风雷益,4,六四
　风雷益,5,九五
　风雷益,6,上九
　泽天夬,1,初九
　泽天夬,2,九二
　泽天夬,3,九三
　泽天夬,4,九四
　泽天夬,5,九五
　泽天夬,6,上六
　天风姤,1,初六
　天风姤,2,九二
　天风姤,3,九三
　天风姤,4,九四
　天风姤,5,九五
　天风姤,6,上九
　泽地萃,1,初六
　泽地萃,2,六二
　泽地萃,3,六三
　泽地萃,4,九四
　泽地萃,5,九五
　泽地萃,6,上六
　地风升,1,初六
　地风升,2,九二
　地风升,3,九三
　地风升,4,六四
　地风升,5,六五
　地风升,6,上六
　泽水困,1,初六
　泽水困,2,九二
　泽水困,3,六三
　泽水困,4,九四
　泽水困,5,九五
　泽水困,6,上六
　水风井,1,初六
　水风井,2,九二
　水风井,3,九三
　水风井,4,六四
　水风井,5,九五
　水风井,6,上六
　泽火革,1,初九
　泽火革,2,六二
　泽火革,3,九三
　泽火革,4,九四
　泽火革,5,九五
　泽火革,6,上六
　火风鼎,1,初六
　火风鼎,2,九二
　火风鼎,3,九三
　火风鼎,4,九四
　火风鼎,5,六五
　火风鼎,6,上九
　震为雷,1,初九
　震为雷,2,六二
　震为雷,3,六三
　震为雷,4,九四
　震为雷,5,六五
　震为雷,6,上六
　艮为山,1,初六
　艮为山,2,六二
　艮为山,3,九三
　艮为山,4,六四
　艮为山,5,六五
　艮为山,6,上九
　风山渐,1,初六
　风山渐,2,六二
　风山渐,3,九三
　风山渐,4,六四
　风山渐,5,九五
　风山渐,6,上九
　雷泽归妹,1,初九
　雷泽归妹,2,九二
　雷泽归妹,3,六三
　雷泽归妹,4,九四
　雷泽归妹,5,六五
　雷泽归妹,6,上六
　雷火丰,1,初九
　雷火丰,2,六二
　雷火丰,3,九三
　雷火丰,4,九四
　雷火丰,5,六五
　雷火丰,6,上六
　火山旅,1,初六
　火山旅,2,六二
　火山旅,3,九三
　火山旅,4,九四
　火山旅,5,六五
　火山旅,6,上九
　巽为风,1,初六
　巽为风,2,九二
　巽为风,3,九三
　巽为风,4,六四
　巽为风,5,九五
　巽为风,6,上九
　兑为泽,1,初九
　兑为泽,2,九二
　兑为泽,3,六三
　兑为泽,4,九四
　兑为泽,5,九五
　兑为泽,6,上六
　风水涣,1,初六
　风水涣,2,九二
　风水涣,3,六三
　风水涣,4,六四
　风水涣,5,九五
　风水涣,6,上九
　水泽节,1,初九
　水泽节,2,九二
　水泽节,3,六三
　水泽节,4,六四
　水泽节,5,九五
　水泽节,6,上六
　风泽中孚,1,初九
　风泽中孚,2,九二
　风泽中孚,3,六三
　风泽中孚,4,六四
　风泽中孚,5,九五
　风泽中孚,6,上九
　雷山小过,1,初六
　雷山小过,2,六二
　雷山小过,3,九三
　雷山小过,4,九四
　雷山小过,5,六五
　雷山小过,6,上六
　水火既济,1,初九
　水火既济,2,六二
　水火既济,3,九三
　水火既济,4,六四
　水火既济,5,九五
　水火既济,6,上六
　火水未济,1,初六
　火水未济,2,九二
　火水未济,3,六三
　火水未济,4,九四
　火水未济,5,六五
　火水未济,6,上九
